letter,orig,thick,thin,blur,noise,bc,total
A,39,26,23,19,16,24,100
B,9,39,34,35,25,35,100
C,12,40,30,44,29,39,100
D,21,34,28,31,29,27,100
E,30,26,28,31,24,34,100
F,13,36,31,25,28,39,100
G,13,38,35,33,27,38,100
H,29,27,35,25,17,22,100
I,26,28,27,28,20,26,100
J,1,38,40,42,31,50,100
K,4,38,37,38,34,34,100
L,18,32,30,31,26,32,100
M,13,38,33,42,35,38,100
N,25,30,32,36,19,29,100
O,26,36,27,28,25,27,100
P,5,35,37,27,29,31,100
Q,2,37,37,41,30,36,100
R,25,34,31,28,27,27,100
S,26,33,28,21,22,24,100
T,31,25,31,30,23,28,100
U,12,31,44,27,24,41,100
V,8,36,35,40,30,43,100
W,11,38,38,34,21,36,100
X,1,37,40,41,25,30,100
Y,9,43,32,39,32,39,100
Z,2,45,36,31,29,36,100
